A.1,A.2,A.3,A.4,B.1,B.2,B.3,B.4,C.1,C.2,C.3,C.4,D.1,D.2,D.3,D.4,E.1,E.2,E.3,E.4,F.1,F.2,F.3,F.4
17.6387,15.7449,16.2791,17.401,16.6568,16.4115,16.6157,16.1939,18.221,17.0113,16.9988,17.0851,16.7486,16.1205,17.0447,16.0675,17.1002,16.5807,16.864,17.0604,19.571,16.845,16.1534,14.8589
19.532,19.6604,19.3932,19.3156,19.0884,19.0894,19.3365,18.7863,19.6021,19.3728,19.6075,19.6925,19.3362,19.244,19.0262,19.3587,18.2797,18.3707,18.7085,18.6567,17.2045,18.1814,17.8479,18.5485
16.5774,16.6165,16.1952,16.5923,16.431,16.8154,16.5277,16.6527,16.5349,16.2341,16.4176,16.4664,16.3983,16.4093,16.2359,16.2355,15.4384,15.2808,15.7324,13.4613,15.4947,15.2106,15.6831,16.1661
15.9366,16.741,16.7159,16.6372,16.4892,16.4476,16.2206,16.4039,16.9595,16.6625,17.0047,16.58,17.0297,16.8323,16.1948,16.8323,15.9419,14.6048,15.6023,12.4293,14.56,15.2604,15.7741,16.061
17.6349,16.5097,15.7186,17.1327,16.7177,16.8251,16.5087,16.9608,16.3803,16.2924,16.7874,17.0518,16.483,16.7673,16.7225,16.4814,15.1836,15.7748,16.3959,14.7207,16.099,16.1777,16.472,16.6359
15.0782,15.7315,15.6771,15.2665,15.5888,14.2308,15.9167,15.5551,14.6234,16.155,15.7206,15.6886,16.1087,15.8273,15.4613,15.6435,15.609,14.9098,15.9761,13.4495,12.6554,12.1401,15.1023,15.873
13.649,12.6105,13.7853,12.1064,15.2455,15.2529,15.2761,15.6649,13.4718,12.7173,13.9554,12.5626,14.9445,14.8051,14.9061,14.6488,14.137,14.8834,13.5575,14.657,13.8839,14.2492,14.5844,14.7428
12.8961,13.624,13.4546,15.309,16.6512,16.9606,16.9731,17.178,13.0855,13.0207,13.363,13.1918,15.2614,16.5202,16.3195,16.0492,14.245,15.0452,14.6452,15.0723,14.5309,15.7285,16.1911,16.6825
15.0743,17.2509,17.1081,16.6903,16.7181,16.7393,16.2582,17.0795,15.3774,14.4344,14.702,14.1112,15.624,15.535,15.0962,15.005,18.3993,18.6303,18.1428,17.6261,18.6821,18.8268,18.8662,18.2396
20.3948,9.49783,12.8772,20.6772,19.3189,15.7798,9.36733,21.9367,14.2589,20.8109,19.9313,16.5968,16.4378,20.301,21.5507,18.8765,18.8382,19.2198,13.9569,12.614,12.0024,19.6673,18.9385,12.5619
15.5111,16.1758,13.2642,18.0702,16.7968,13.8017,14.6295,17.594,16.4528,17.214,16.469,13.5469,13.8156,16.8233,18.4938,16.6484,17.0124,12.5893,12.7186,14.7033,16.1787,11.5453,13.046,17.1904
18.3153,16.4634,16.3041,15.8602,15.4514,15.7939,15.0259,14.7692,16.5116,16.6395,14.4109,16.255,16.0839,14.6874,15.1259,15.4143,13.2975,12.1261,13.2586,12.2039,12.3905,13.4206,14.3883,12.5343
16.2973,16.324,15.9075,16.4344,15.9287,16.038,15.9597,16.1193,15.3839,15.3428,15.5659,15.6612,15.3428,15.1884,15.2909,15.1696,14.8554,15.1753,15.2271,12.8124,14.9098,14.7283,15.0738,15.3512
15.7418,16.0208,15.0188,15.0076,16.4262,16.0085,16.2953,14.2428,15.0986,15.9556,13.3603,15.184,16.3892,15.9424,14.876,16.688,16.5974,17.1326,16.0251,16.7653,16.3365,16.7778,16.8036,16.7251
15.5015,14.4043,14.3313,15.1455,14.2139,14.2876,13.9652,13.7719,12.745,13.7921,13.9133,11.8884,14.7391,14.1585,14.1928,13.959,14.8498,15.9639,15.0777,12.9153,11.855,12.8295,14.5681,13.8238
12.8247,14.1555,13.0675,13.7593,13.4393,14.3782,13.9424,13.5564,14.0705,13.7486,12.2987,13.7038,14.2466,14.1545,14.0862,14.0098,14.5749,14.8777,14.1111,12.9203,15.048,14.7623,14.8535,14.9003
13.1667,13.0201,14.0259,13.8567,13.5336,14.135,13.8681,13.9165,12.0296,12.841,13.3442,12.2802,13.9967,14.124,14.1189,13.9551,13.5477,13.1669,14.3873,13.3375,13.3967,14.0617,13.6854,14.1158
13.9398,14.6571,14.2786,12.8923,15.3141,14.8981,15.3388,15.0634,13.1195,13.525,14.3102,14.4378,14.8074,15.1923,15.4994,15.3543,12.9791,13.4727,13.9964,12.5517,12.7192,14.0652,14.2877,14.5646
17.764,18.176,17.9893,17.9951,17.8869,18.3776,17.9572,18.2683,18.1112,18.2955,18.4149,18.0683,18.0471,18.0112,17.8848,18.0688,17.4094,17.873,17.5625,16.8581,16.5655,16.6655,17.1142,17.4827
15.3405,14.4303,14.5215,15.3444,14.9562,15.5142,15.4166,15.8588,15.4622,14.4027,15.4564,15.2654,15.2948,15.8012,15.9209,15.761,14.7253,13.0956,15.0365,13.8586,14.4862,14.5363,14.989,12.7458
17.3864,17.446,16.8002,17.4406,16.9303,17.2691,17.0161,17.3356,16.066,16.4261,16.7833,16.9448,17.1746,17.253,17.1164,17.0522,18.9975,19.0857,19.2425,19.0812,19.0092,18.6567,19.264,18.8738
15.4517,15.9211,16.5995,15.4917,15.0282,14.4085,13.9492,15.0542,15.7691,16.2536,13.1385,14.5455,15.8262,14.7703,13.6617,13.1531,12.0358,15.6091,14.6485,13.5578,15.747,16.4481,15.9811,14.4569
16.4318,16.6802,16.171,16.6183,16.4074,17.0342,16.5028,16.7828,16.6583,16.4693,16.7083,16.5274,16.8949,16.4974,16.6478,16.6468,15.4655,15.9639,15.9614,12.9181,14.5167,14.4372,15.5239,15.6363
13.3072,15.0202,14.3746,13.4103,14.5836,14.6298,14.8624,14.5709,13.9681,14.3345,14.3686,14.1611,14.2777,14.2809,13.94,14.3563,13.2981,14.2281,13.4003,13.9407,11.7749,12.3614,11.8873,13.7124
15.6485,15.7399,15.1866,16.1851,15.7547,16.4206,15.8652,16.0627,15.6101,15.6237,15.7386,15.7949,15.83,15.8364,15.4317,15.7084,14.4396,12.7128,14.8982,13.2922,14.5164,14.5817,15.2109,15.4036
15.8055,16.0699,15.4973,15.2629,14.2805,13.6417,13.9239,14.7476,14.8568,15.0014,15.4682,14.5175,13.5981,14.3367,14.7441,14.3161,15.1334,14.673,15.186,15.6082,14.6264,15.1041,14.4398,13.9489
18.2969,17.9774,18.0826,18.548,17.811,17.9197,17.8488,17.832,18.2508,17.8526,18.3428,18.3429,18.1132,17.7769,17.7736,17.8829,17.7516,18.2223,18.4038,18.1597,17.4963,18.005,17.8221,17.6475
16.9023,16.7427,16.8429,16.8064,16.8175,17.0957,16.8924,17.0672,16.6033,16.6096,16.7706,16.5019,16.9306,16.7369,16.8381,16.7101,16.0874,15.8105,15.8374,14.3872,15.9976,15.8137,16.096,16.323
16.4379,16.3646,16.1955,16.2258,16.5013,16.4997,16.4164,16.568,16.0477,16.234,16.4704,16.2815,16.5396,16.3782,16.4573,16.4886,15.9001,15.1787,15.94,12.1581,15.6383,15.5549,15.8851,16.0231
15.4164,15.327,15.3319,14.8001,14.1682,14.3119,14.1149,14.5272,15.3735,15.6896,15.9911,14.9555,15.0099,14.651,14.0594,14.7311,15.4131,16.1985,15.601,17.0472,14.7401,15.4353,15.4721,15.1776
18.0763,17.7942,18.5002,17.9921,18.0595,18.0439,17.6153,18.4139,17.8536,18.1009,17.8499,17.4929,17.9528,17.9863,18.2017,18.1521,17.4565,17.5572,17.5886,18.0713,17.6033,17.5492,17.3875,17.0306
15.5505,15.6854,13.9584,16.0915,15.0238,15.287,15.5995,15.4347,12.2959,14.4491,14.3087,15.0607,14.7891,15.1558,14.6163,14.7755,13.3936,13.0496,13.3651,13.5721,13.0694,13.9333,13.4243,14.2205
15.1409,15.5865,15.1022,14.3301,13.8406,14.1523,14.8813,14.2189,12.1089,12.3282,11.9555,12.7572,13.8935,12.8402,14.699,14.3476,15.1123,15.0797,15.3211,12.8336,17.1492,15.1087,15.2179,15.3555
